"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"11","11","32.35 [29.1, 35.56]","26.26 [21.41, 31.28]","18.32 [14.49, 22.17]","44.58 [41.52, 47.91]","46.76 [43.34, 50.14]","5.9 [3.65, 8.13]","52.66 [50.21, 55.1]","0.09 [0.06, 0.12]","81.05 [54.12, 107.45]"
"12","12","30.55 [27.84, 33.27]","29.23 [25.11, 32.72]","15.32 [12.92, 18.18]","44.55 [41.5, 47.52]","47.2 [43.84, 50.55]","5.54 [3.34, 7.7]","52.73 [50.32, 55.22]","0.08 [0.06, 0.1]","82.35 [61.94, 98.75]"
"13","13","30.42 [27.53, 33.61]","27.92 [23.4, 32.03]","15.9 [13.18, 19.26]","43.82 [40.64, 47.32]","47 [43.59, 50.44]","5.66 [3.43, 7.94]","52.66 [50.26, 55.12]","0.09 [0.07, 0.11]","88.53 [64.76, 109.16]"
"14","14","27.2 [24.54, 30.41]","27.36 [23.54, 31.03]","13.65 [11.39, 16.43]","41 [37.73, 44.7]","47.21 [43.74, 50.67]","5.45 [3.18, 7.69]","52.66 [50.23, 55.17]","0.09 [0.06, 0.11]","85.67 [59.88, 107.21]"
"15","15","33.55 [29.37, 37.45]","24.93 [19.92, 30.56]","20.05 [14.93, 25.04]","44.98 [41.79, 48.38]","46.72 [43.35, 50.09]","6.01 [3.7, 8.28]","52.73 [50.4, 55.15]","0.08 [0.05, 0.12]","73.76 [43.83, 105.68]"
"16","16","25.85 [23.15, 29.63]","26.01 [22.31, 29.99]","13.19 [10.94, 16.02]","39.19 [35.81, 43.62]","47 [43.61, 50.44]","5.5 [3.26, 7.69]","52.5 [50.06, 54.94]","0.09 [0.07, 0.12]","85.31 [60.48, 107.27]"
"17","17","27.64 [24.23, 31.65]","27.47 [23.55, 31.39]","13.94 [11.38, 17.15]","41.41 [37.45, 45.77]","47.21 [43.87, 50.69]","5.5 [3.27, 7.7]","52.71 [50.32, 55.19]","0.09 [0.05, 0.13]","86.39 [44.93, 129.04]"
"18","18","32.95 [29.76, 36.06]","26.33 [21.68, 31.1]","18.78 [14.81, 22.89]","45.11 [42.5, 48.04]","46.88 [43.57, 50.34]","5.9 [3.62, 8.12]","52.78 [50.47, 55.25]","0.1 [0.07, 0.12]","90.15 [62.74, 115.55]"
"19","19","25.98 [22.72, 29.86]","25.52 [22.03, 29.66]","13.53 [10.92, 16.61]","39.05 [35.29, 43.6]","46.85 [43.48, 50.22]","5.66 [3.47, 7.85]","52.52 [50.07, 54.95]","0.1 [0.06, 0.14]","86.85 [52.3, 122.02]"
"20","20","31.45 [27.85, 35.32]","27.66 [22.78, 32]","16.86 [13.32, 21.41]","44.52 [41.16, 47.93]","46.99 [43.71, 50.36]","5.74 [3.51, 7.96]","52.73 [50.37, 55.19]","0.07 [0.05, 0.1]","72.18 [45.58, 97.83]"
"21","21","32.25 [28.16, 36.28]","26.43 [21.35, 31.4]","18.18 [13.82, 23.2]","44.6 [41.15, 48.07]","46.87 [43.49, 50.25]","5.91 [3.62, 8.21]","52.78 [50.43, 55.2]","0.09 [0.05, 0.13]","82.5 [47.7, 116.61]"
"22","22","30.31 [27.44, 33.24]","29.82 [25.68, 33.24]","14.84 [12.51, 17.73]","44.66 [41.33, 47.65]","47.58 [44.28, 50.93]","5.37 [3.17, 7.58]","52.95 [50.64, 55.41]","0.08 [0.06, 0.11]","88.47 [60.61, 110.86]"
"23","23","34.48 [30.86, 37.78]","27.02 [21.5, 32.04]","19.61 [15.17, 24.33]","46.62 [43.49, 49.45]","46.97 [43.48, 50.44]","5.93 [3.63, 8.25]","52.9 [50.54, 55.35]","0.07 [0.05, 0.09]","65.98 [44.05, 84.86]"
"24","24","34.99 [31.96, 37.88]","23.6 [19.07, 29.22]","21.95 [17.49, 25.62]","45.55 [42.74, 48.71]","46.54 [43.12, 50.03]","6.02 [3.7, 8.34]","52.56 [50.18, 55.06]","0.09 [0.06, 0.11]","73.79 [52.54, 94.89]"
"25","25","29.71 [27.1, 32.24]","24.24 [20.46, 28.8]","17.22 [13.92, 20.31]","41.46 [39.07, 44.46]","46.39 [42.94, 49.91]","6.04 [3.7, 8.37]","52.43 [50.01, 54.92]","0.08 [0.06, 0.1]","69.71 [54.53, 84.92]"
"26","26","33.06 [29.97, 36.07]","30.2 [25.88, 33.57]","16.72 [13.85, 20.44]","46.92 [44.03, 49.39]","47.52 [44.24, 50.82]","5.59 [3.39, 7.78]","53.11 [50.82, 55.43]","0.09 [0.06, 0.12]","91.77 [59.25, 122.5]"
"27","27","31.78 [29.49, 34.09]","30.74 [26.7, 33.89]","15.44 [13.26, 18.38]","46.18 [43.71, 48.55]","47.62 [44.26, 50.95]","5.35 [3.17, 7.55]","52.97 [50.66, 55.34]","0.08 [0.07, 0.1]","89.66 [70.7, 104.41]"
"28","28","31.83 [28.46, 35.18]","28.36 [23.42, 32.47]","16.81 [13.51, 21.09]","45.17 [41.97, 48.13]","47.06 [43.73, 50.46]","5.83 [3.53, 8.11]","52.89 [50.52, 55.29]","0.07 [0.05, 0.09]","70.19 [46.83, 92.18]"
"29","29","27.68 [24.23, 31.82]","25.71 [21.74, 30.11]","14.82 [11.86, 18.41]","40.53 [36.73, 45.02]","46.74 [43.36, 50.07]","5.77 [3.51, 8.05]","52.51 [50.09, 54.9]","0.09 [0.06, 0.12]","81.59 [52.54, 108.39]"
"30","30","33.53 [30.31, 36.69]","27.51 [22.69, 32.07]","18.58 [14.7, 22.8]","46.09 [43.37, 48.87]","47.02 [43.7, 50.41]","5.84 [3.54, 8.07]","52.86 [50.56, 55.27]","0.09 [0.06, 0.12]","88.79 [59.19, 115.34]"
"31","31","34.21 [31.32, 37.06]","28.55 [23.29, 32.95]","18.53 [14.87, 22.87]","47.08 [44.43, 49.52]","47.17 [43.69, 50.55]","5.87 [3.5, 8.21]","53.05 [50.72, 55.44]","0.08 [0.06, 0.1]","80.2 [57.54, 99.5]"
"32","32","28.3 [25.1, 31.84]","26.22 [22.24, 30.44]","15.07 [12.22, 18.3]","41.29 [37.91, 45.3]","46.86 [43.49, 50.16]","5.73 [3.5, 7.94]","52.59 [50.14, 55.03]","0.1 [0.07, 0.13]","91.35 [62.36, 118.72]"
"33","33","32.86 [29.23, 36.17]","27.79 [22.67, 32.35]","17.91 [14.18, 22.34]","45.7 [42.33, 48.7]","47.01 [43.58, 50.4]","5.88 [3.55, 8.21]","52.9 [50.6, 55.33]","0.08 [0.05, 0.1]","75.73 [50.92, 96.85]"
"34","34","32.63 [29.01, 35.98]","23.6 [19.17, 29.22]","20 [15.35, 23.99]","43.6 [40.58, 47.09]","46.45 [43.01, 49.87]","6.02 [3.73, 8.33]","52.48 [50.07, 54.91]","0.09 [0.06, 0.12]","72.68 [47.67, 99.73]"
"35","35","32.23 [28.65, 36.03]","28.96 [23.58, 33.09]","16.77 [13.47, 21.64]","45.72 [42.22, 48.81]","47.24 [43.95, 50.56]","5.65 [3.41, 7.84]","52.89 [50.53, 55.27]","0.08 [0.05, 0.11]","77.68 [44.06, 106.49]"
"36","36","33.96 [31, 36.92]","28.51 [23.15, 32.91]","18.37 [14.65, 22.83]","46.88 [44.23, 49.33]","47.16 [43.77, 50.58]","5.87 [3.57, 8.13]","53.03 [50.76, 55.41]","0.08 [0.06, 0.1]","77.67 [53.83, 97.26]"
"37","37","30.21 [26.52, 33.81]","29.09 [24.54, 32.89]","15.14 [12.4, 18.72]","44.23 [40.12, 47.86]","47.35 [43.94, 50.77]","5.52 [3.24, 7.74]","52.87 [50.52, 55.28]","0.08 [0.05, 0.12]","84.45 [46.4, 117.91]"
"38","38","33.14 [29.86, 36.2]","26.32 [21.37, 31.31]","18.94 [14.79, 23.12]","45.26 [42.51, 48.21]","46.79 [43.45, 50.23]","5.97 [3.68, 8.24]","52.77 [50.45, 55.16]","0.08 [0.05, 0.1]","72.73 [50.11, 95.34]"
"39","39","33.11 [29.87, 36.35]","28.47 [23, 32.85]","17.72 [14.18, 22.2]","46.19 [43.06, 48.99]","47.11 [43.74, 50.52]","5.81 [3.48, 8.08]","52.92 [50.55, 55.31]","0.08 [0.05, 0.1]","78.28 [51.18, 101.12]"
"40","40","31.08 [28.15, 34.05]","28.63 [24.32, 32.43]","16.06 [13.26, 19.5]","44.69 [41.72, 47.71]","47.16 [43.81, 50.51]","5.67 [3.46, 7.85]","52.83 [50.5, 55.24]","0.1 [0.07, 0.12]","97.03 [67.12, 122.73]"
"41","41","29.5 [26.66, 32.79]","28.01 [23.75, 31.96]","15.13 [12.63, 18.16]","43.13 [39.8, 46.76]","47.08 [43.7, 50.48]","5.56 [3.33, 7.8]","52.65 [50.19, 55.15]","0.09 [0.06, 0.11]","88.72 [62.88, 110.94]"
"42","42","29.96 [27.08, 32.88]","28.88 [24.93, 32.39]","15.07 [12.61, 17.92]","43.95 [40.9, 47.01]","47.3 [43.85, 50.68]","5.56 [3.31, 7.75]","52.86 [50.48, 55.31]","0.09 [0.07, 0.12]","96.36 [67.91, 121.15]"
