"","species","ToptCI","B50CI","B50_lowCI","B50_highCI","breadthCI","x_minCI","x_maxCI","max_RGRCI","areaCI"
"22","22","35.79 [32.34, 39.25]","27.02 [21.76, 32.36]","21.15 [16.89, 25.61]","48.17 [44.92, 51.56]","48.34 [45.1, 51.57]","7.44 [5.13, 9.74]","55.78 [53.5, 58.05]","0.12 [0.08, 0.16]","57.24 [37.74, 77.37]"
"23","23","31.31 [28.26, 34.8]","28.88 [24.63, 32.78]","16.62 [14.02, 19.98]","45.49 [42.18, 49.13]","48.7 [45.44, 51.88]","7.09 [4.88, 9.29]","55.79 [53.56, 58.07]","0.13 [0.09, 0.17]","65.24 [44.41, 86.46]"
"24","24","35.37 [31.44, 39.11]","24.87 [20.25, 30.74]","22.01 [17.03, 26.62]","46.89 [43.7, 50.59]","48.06 [44.74, 51.47]","7.61 [5.23, 9.96]","55.67 [53.42, 57.95]","0.1 [0.06, 0.13]","43.93 [28.67, 60.94]"
"25","25","33.61 [29.65, 37.93]","28.41 [22.89, 33.05]","18.67 [14.97, 23.85]","47.07 [43.33, 50.96]","48.59 [45.35, 51.84]","7.23 [4.98, 9.52]","55.82 [53.55, 58.17]","0.1 [0.06, 0.14]","51.62 [31.63, 73.69]"
"26","26","37.57 [32.85, 42.1]","25.34 [19.34, 31.59]","23.56 [17.46, 29.8]","48.9 [45.38, 52.38]","48.3 [45, 51.67]","7.47 [5.09, 9.78]","55.77 [53.56, 58.08]","0.13 [0.06, 0.22]","62.41 [26.83, 101.92]"
"27","27","41.65 [38.57, 44.35]","24.19 [19.68, 29.25]","27.56 [22.72, 31.54]","51.75 [49.33, 54.08]","48.64 [45.35, 51.95]","7.59 [5.2, 9.96]","56.23 [54.17, 58.36]","0.15 [0.09, 0.19]","64.62 [41.37, 82.54]"
"28","28","36.02 [31.7, 40.09]","28.21 [22.78, 33.13]","20.71 [16.23, 25.89]","48.92 [45.23, 52.08]","48.63 [45.39, 51.91]","7.45 [5.12, 9.76]","56.08 [53.94, 58.29]","0.12 [0.07, 0.17]","59.02 [34.8, 84.44]"
"29","29","37.46 [31.74, 42.81]","27.5 [20.95, 33.22]","22.26 [16.33, 29.5]","49.76 [45.1, 53.18]","48.71 [45.39, 52.04]","7.44 [5.03, 9.8]","56.14 [53.97, 58.35]","0.1 [0.04, 0.17]","48.41 [17.17, 81.61]"
"30","30","34.53 [31.31, 37.79]","29.95 [25.19, 33.88]","18.57 [15.53, 22.49]","48.51 [45.3, 51.48]","48.73 [45.49, 52.02]","7.25 [4.92, 9.5]","55.98 [53.84, 58.19]","0.08 [0.06, 0.1]","41.45 [30.58, 52.44]"
"31","31","36.15 [32.1, 40.72]","28.9 [22.1, 33.74]","20.41 [15.92, 27.03]","49.31 [46.05, 52.32]","48.79 [45.52, 52.14]","7.23 [4.92, 9.53]","56.02 [53.82, 58.29]","0.1 [0.06, 0.14]","51.95 [30.08, 75.58]"
"32","32","35.77 [32.65, 38.92]","26.01 [21.23, 31.55]","21.7 [17.5, 25.76]","47.71 [44.8, 51.01]","48.22 [44.83, 51.65]","7.47 [5.08, 9.82]","55.69 [53.48, 57.96]","0.12 [0.09, 0.16]","57.21 [39.94, 75.82]"
"33","33","40.57 [36.59, 43.81]","24.94 [19.74, 30.97]","26.24 [20.24, 31.02]","51.18 [48.57, 53.71]","48.61 [45.44, 51.91]","7.56 [5.18, 9.84]","56.16 [54.04, 58.35]","0.11 [0.07, 0.16]","51.65 [32.67, 71.07]"
"34","34","33.01 [29.11, 37.25]","27.67 [22.92, 32.49]","18.59 [14.91, 23.04]","46.26 [42.53, 50.37]","48.37 [45.02, 51.72]","7.39 [5.03, 9.7]","55.76 [53.49, 58.07]","0.11 [0.07, 0.15]","53.9 [33.78, 74.53]"
"35","35","37.93 [33.77, 41.79]","28.06 [22.46, 33.12]","22.3 [17.24, 27.66]","50.36 [47.21, 53.06]","48.73 [45.51, 52.06]","7.49 [5.12, 9.84]","56.23 [54.14, 58.44]","0.1 [0.06, 0.15]","50.07 [29.99, 72.44]"
"36","36","40.36 [35.33, 44.56]","25.49 [19.2, 32]","25.76 [18.71, 32.34]","51.25 [48.08, 53.93]","48.72 [45.44, 52.01]","7.48 [5.12, 9.81]","56.2 [54.12, 58.39]","0.08 [0.04, 0.12]","36.6 [19.77, 56.78]"
"37","37","35.5 [31.38, 40.11]","28.11 [21.71, 33.23]","20.33 [15.93, 26.7]","48.44 [44.85, 51.87]","48.54 [45.22, 51.97]","7.32 [4.96, 9.58]","55.86 [53.61, 58.2]","0.09 [0.05, 0.14]","47.04 [22.67, 74.41]"
"38","38","36.6 [31.62, 41.73]","27.5 [21.21, 32.95]","21.56 [16.26, 28.28]","49.06 [44.92, 52.59]","48.54 [45.26, 51.79]","7.44 [5.1, 9.78]","55.98 [53.79, 58.15]","0.1 [0.05, 0.16]","49.33 [21.51, 79.23]"
"39","39","33.28 [29.21, 37.49]","26.78 [21.55, 31.91]","19.26 [15.14, 24.54]","46.04 [42.36, 49.97]","48.37 [45.1, 51.68]","7.3 [4.99, 9.53]","55.67 [53.4, 57.92]","0.12 [0.08, 0.17]","57.15 [35.5, 81.71]"
"40","40","34.47 [31, 38.08]","27.1 [21.84, 32.31]","20.04 [15.95, 24.66]","47.15 [43.98, 50.64]","48.36 [45.03, 51.68]","7.33 [5.01, 9.61]","55.7 [53.46, 57.98]","0.08 [0.06, 0.11]","39.37 [27.04, 52.68]"
"41","41","33.59 [29.7, 37.46]","30.09 [25.08, 33.97]","17.78 [14.66, 22.2]","47.87 [43.91, 51.38]","48.95 [45.71, 52.15]","7.13 [4.88, 9.42]","56.07 [53.91, 58.31]","0.09 [0.06, 0.13]","48.22 [29.42, 68.56]"
"42","42","38.27 [34.62, 41.8]","26.28 [20.53, 32.09]","23.59 [18.27, 28.86]","49.87 [47.14, 52.63]","48.59 [45.37, 51.81]","7.42 [5.09, 9.74]","56.01 [53.89, 58.22]","0.09 [0.07, 0.13]","45.13 [30.7, 61.24]"
"43","43","38.17 [34.16, 42.17]","28.19 [21.97, 33.49]","22.41 [17.22, 28.46]","50.6 [47.73, 53.16]","48.89 [45.64, 52.17]","7.36 [4.99, 9.72]","56.24 [54.18, 58.41]","0.11 [0.07, 0.16]","57.29 [35.51, 79.43]"
"44","44","34.46 [30.51, 38.4]","30.34 [25.07, 34.23]","18.32 [15.1, 23.06]","48.66 [44.74, 51.75]","49.04 [45.89, 52.19]","7.13 [4.94, 9.34]","56.17 [54.07, 58.34]","0.1 [0.06, 0.14]","54.79 [32.27, 78.03]"
"45","45","34.54 [30.97, 38.18]","29.33 [24.21, 33.48]","18.92 [15.6, 23.19]","48.25 [44.85, 51.4]","48.66 [45.46, 51.91]","7.31 [5.04, 9.55]","55.97 [53.81, 58.17]","0.09 [0.06, 0.12]","46.47 [30.87, 63.18]"
"46","46","35.8 [31.59, 40.88]","29.41 [22.28, 34.15]","19.87 [15.69, 27.3]","49.28 [45.47, 52.32]","48.89 [45.66, 52.18]","7.23 [4.92, 9.48]","56.12 [53.97, 58.33]","0.13 [0.06, 0.21]","68.17 [26.03, 110.6]"
"47","47","36.54 [32.38, 40.52]","28.39 [22.94, 33.26]","21.02 [16.46, 26.19]","49.42 [45.93, 52.46]","48.69 [45.54, 51.94]","7.46 [5.05, 9.79]","56.15 [54.06, 58.32]","0.11 [0.07, 0.16]","56.58 [34.1, 80.69]"
"48","48","32.68 [29.48, 35.99]","27.13 [22.73, 31.72]","18.62 [15.13, 22.51]","45.74 [42.75, 49.19]","48.27 [44.97, 51.66]","7.46 [5.09, 9.82]","55.72 [53.47, 58.01]","0.11 [0.08, 0.14]","54.04 [39.62, 68.55]"
"49","49","35.37 [32.19, 38.55]","28.78 [23.83, 33.32]","19.87 [16.29, 23.78]","48.64 [45.67, 51.61]","48.55 [45.33, 51.84]","7.43 [5.09, 9.72]","55.98 [53.77, 58.22]","0.09 [0.07, 0.12]","48.65 [36.19, 61.91]"
"50","50","34.68 [30.75, 38.83]","27.54 [22.06, 32.78]","19.99 [15.75, 25.14]","47.53 [44.01, 51.18]","48.4 [45.09, 51.75]","7.4 [5.09, 9.73]","55.8 [53.54, 58.09]","0.06 [0.04, 0.09]","31.92 [20.28, 44.73]"
